Feature,Importance,Type
benfords_market_yearly_avg,0.098374236915963,Tabular
benfords_market_yearly_avg_lag,0.09114880487052053,Tabular
lot_bidscount_avg,0.0729700228807619,Tabular
lot_bidscount_avg_lag,0.06079843610596987,Tabular
contract_count_bidder_yearly,0.04273084406406336,Tabular
network_clustering,0.03928676556734531,Network
network_degree,0.03835961031482039,Network
cpv3_avg_bidder_yearly,0.03811942307735245,Tabular
cpv3_avg_bidder_yearly_avg_lag,0.035363152532568574,Tabular
benfords_buyer_yearly_avg,0.03370980156892903,Tabular
singleb_avg_lag,0.03337612801112147,Tabular
country_country_3,0.032591015130441346,Tabular
buyer_avg_bidder_yearly,0.032517715959157825,Tabular
network_eigenvector,0.030910570138460432,Network
country_country_2,0.02973252409060914,Tabular
benfords_buyer_yearly_avg_lag,0.02895830833163147,Tabular
singleb_avg,0.028380249878258716,Tabular
buyer_avg_bidder_yearly_avg_lag,0.028048405290506288,Tabular
MAD_market,0.027883676148440124,Tabular
relative_value_avg,0.026887677197844174,Tabular
bid_issubcontracted_avg,0.026428293801052237,Tabular
relative_value_avg_lag,0.025179166738818714,Tabular
bid_issubcontracted_avg_lag,0.02364101197927363,Tabular
bid_issubcontracted,0.015211180405851203,Tabular
lot_bidscount,0.010612674204637082,Tabular
cpv2_smp_15,0.007145581552118832,Tabular
country_country_5,0.0066683463582299105,Tabular
cpv2_smp_9,0.004641899228405878,Tabular
country_country_4,0.0033234309375505815,Tabular
cpv2_smp_24,0.003229102669692637,Tabular
cpv2_smp_8,0.0031098545837686133,Tabular
bid_isconsortium,0.0029771503324639626,Tabular
cpv2_smp_29,0.002543814343194291,Tabular
country_country_1,0.001971322903458685,Tabular
cpv2_smp_2,0.0019194161639075988,Tabular
country_country_7,0.0017420293355192966,Tabular
relative_value,0.001382310477739612,Tabular
cpv2_smp_23,0.0012511104922606556,Tabular
MAD_buyer,0.001246916519458308,Tabular
cpv2_smp_26,0.0010616932837420494,Tabular
cpv2_smp_31,0.00094339815909994,Tabular
cpv2_smp_12,0.0009117301475348939,Tabular
country_country_6,0.0008055964716748771,Tabular
cpv2_smp_27,0.000333528776161741,Tabular
cpv2_smp_17,0.0002879467129734729,Tabular
cpv2_smp_20,0.0002647606626145211,Tabular
cpv2_smp_5,0.0002542838883410985,Tabular
cpv2_smp_14,0.00021388726349570828,Tabular
cpv2_smp_18,0.00012804937880170615,Tabular
cpv2_smp_6,0.00011015605617748898,Tabular
cpv2_smp_13,6.746499512043995e-05,Tabular
cpv2_smp_22,6.70832295630783e-05,Tabular
cpv2_smp_Other,6.14788800563821e-05,Tabular
cpv2_smp_1,4.493955277042776e-05,Tabular
cpv2_smp_16,4.4531426669949295e-05,Tabular
cpv2_smp_7,2.579710586053794e-05,Tabular
cpv2_smp_28,1.6929071743631244e-06,Tabular
cpv2_smp_3,0.0,Tabular
cpv2_smp_30,0.0,Tabular
cpv2_smp_21,0.0,Tabular
cpv2_smp_4,0.0,Tabular
cpv2_smp_10,0.0,Tabular
cpv2_smp_19,0.0,Tabular
cpv2_smp_11,0.0,Tabular
cpv2_smp_25,0.0,Tabular
